Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
02/28/2022 01:00:00,02/28/2022 07:00:00,AEC,SOUC,18.1958,0.2481,5.8125,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_CSWS,CSWS_AECC_LA,21.8377,0.4972,9.2052,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,21.5489,0.3775,9.0362,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,20.8143,0.5790,8.1001,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,21.6200,0.1191,9.3657,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,21.5955,0.3428,9.1175,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,20.4880,0.0557,8.2971,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,21.9716,0.2191,9.6173,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AECI,AECI,17.7130,0.0590,5.5188,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,AEPM_CSWS,CSWS_LA,19.6267,0.5458,6.9457,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,ALTW,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,AMRN,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,-0.9273,0.0431,-13.1056,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,BBA,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BCA,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,8.7893,-0.1212,-3.2248,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,4.3403,-1.7824,-6.0125,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,BLKW,BLKW,-2.1564,0.1122,-14.4039,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,-16.0001,-0.1919,-27.9434,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,21.7018,0.2648,9.3018,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,-15.9848,-0.1767,-27.9434,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BRAZ,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BUBA,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,-3.0021,-1.5315,-13.6058,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,-11.4189,-0.0514,-23.5027,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,-11.4189,-0.0514,-23.5027,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,-11.4189,-0.0514,-23.5027,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,-11.4189,-0.0514,-23.5027,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,-11.4189,-0.0514,-23.5027,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,-5.1778,-0.5326,-16.7805,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,9.1968,-0.6499,-2.2885,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,9.1968,-0.6499,-2.2885,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CLEC,MISO,15.5932,0.1102,3.3477,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,3.6860,0.1866,-8.6358,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,COWP,COWP_LA,19.0133,0.1864,6.6917,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,19.0133,0.1864,6.6917,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,19.0133,0.1864,6.6917,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CPLE,VACS,17.9858,0.2290,5.6215,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,CPLW,VACS,17.9858,0.2290,5.6215,12.1353
02/28/2022 01:00:00,02/28/2022 07:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,18.8344,0.2903,6.4089,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CROSSROADS2,MPSCRSRD_EXUNCROSSROADS2_RA,18.8344,0.2903,6.4089,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CROSSROADS3,MPSCRSRD_EXUNCROSSROADS3_RA,18.8344,0.2903,6.4089,12.1352
02/28/2022 01:00:00,02/28/2022 07:00:00,CROSSROADS4,MPSCRSRD_EXUNCROSSROADS4_RA,18.8344,0.2903,6.4089,12.1352
