Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
02/02/2022 01:00:00,02/02/2022 07:00:00,AEC,SOUC,23.1471,0.4675,11.8167,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_CSWS,CSWS_AECC_LA,22.9100,0.5825,11.4647,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,23.1570,0.4814,11.8127,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,22.4823,0.7362,10.8832,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,24.0353,0.3177,12.8547,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,17.2103,0.4393,5.9081,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,20.9475,0.5583,9.5263,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,15.6597,0.3113,4.4855,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,AECI,AECI,26.4616,0.3444,15.2542,10.8630
02/02/2022 01:00:00,02/02/2022 07:00:00,AEPM_CSWS,CSWS_LA,15.6218,0.5029,4.2560,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,ALTW,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,AMRN,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,1.7371,-0.5836,-8.5421,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,BBA,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,BCA,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,9.0153,-0.0001,-1.8475,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,3.7355,-1.7556,-5.3719,10.8630
02/02/2022 01:00:00,02/02/2022 07:00:00,BLKW,BLKW,1.6790,-0.5101,-8.6738,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,4.0171,-0.7905,-6.0553,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,4.4485,-0.4382,-5.9762,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,4.0408,-0.7668,-6.0553,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,BRAZ,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,BUBA,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,-1.0644,-1.3742,-10.5531,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,3.1913,-0.3255,-7.3461,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,3.1913,-0.3255,-7.3461,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,3.1913,-0.3255,-7.3461,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,3.1913,-0.3255,-7.3461,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,3.1913,-0.3255,-7.3461,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,-21.9800,-0.3910,-32.4519,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,7.0610,-0.4302,-3.3717,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,7.0610,-0.4302,-3.3717,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,CLEC,MISO,19.8933,0.2614,8.7691,10.8628
02/02/2022 01:00:00,02/02/2022 07:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,-28.8579,0.3377,-40.0585,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,COWP,COWP_LA,40.1190,0.5118,28.7443,10.8629
02/02/2022 01:00:00,02/02/2022 07:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,40.1190,0.5118,28.7443,10.8629
