Node ID,Node Name,Zone ID,Zone Name
24138,59TH STREET_GT_1,61761.0,N.Y.C.
24260,74TH STREET_GT_1,61761.0,N.Y.C.
24261,74TH STREET_GT_2,61761.0,N.Y.C.
24011,ADK HUDSON___FALLS,61757.0,CAPITL
23798,ADK RESOURCE___RCVRY,61757.0,CAPITL
24028,ADK S GLENS___FALLS,61757.0,CAPITL
23527,ADK_NYS___DAM,61757.0,CAPITL
24190,AIR_PRODUCTS___DRP,61757.0,CAPITL
23571,ALBANY___1,61757.0,CAPITL
23572,ALBANY___2,61757.0,CAPITL
23573,ALBANY___3,61757.0,CAPITL
23574,ALBANY___4,61757.0,CAPITL
323615,ALBANY___LFGE,61757.0,CAPITL
323711,ALCOA___DSASP,61755.0,NORTH
24188,ALCOA_RYNLDS___DRP,61755.0,NORTH
23514,ALLEGHENY___COGEN,61753.0,GENESE
323606,ALTONA_WT_PWR,61755.0,NORTH
24010,AMERICAN_REF_FUEL,61752.0,WEST
23512,ARTHUR_KILL_2,61761.0,N.Y.C.
23513,ARTHUR_KILL_3,61761.0,N.Y.C.
323718,ARTHUR_KILL_COGEN,61761.0,N.Y.C.
23520,ARTHUR KILL_GT_1,61761.0,N.Y.C.
23654,ASHOKAN____,61758.0,HUD VL
323581,ASTORIA_EAST_ENERGY_CC1,61761.0,N.Y.C.
323582,ASTORIA_EAST_ENERGY_CC2,61761.0,N.Y.C.
23523,ASTORIA_GT_1,61761.0,N.Y.C.
24110,ASTORIA_GT_10,61761.0,N.Y.C.
24225,ASTORIA_GT_11,61761.0,N.Y.C.
24226,ASTORIA_GT_12,61761.0,N.Y.C.
24227,ASTORIA_GT_13,61761.0,N.Y.C.
24106,ASTORIA_GT_5,61761.0,N.Y.C.
24107,ASTORIA_GT_7,61761.0,N.Y.C.
24108,ASTORIA_GT_8,61761.0,N.Y.C.
24094,ASTORIA_GT2_1,61761.0,N.Y.C.
24095,ASTORIA_GT2_2,61761.0,N.Y.C.
24096,ASTORIA_GT2_3,61761.0,N.Y.C.
24097,ASTORIA_GT2_4,61761.0,N.Y.C.
24098,ASTORIA_GT3_1,61761.0,N.Y.C.
24099,ASTORIA_GT3_2,61761.0,N.Y.C.
24100,ASTORIA_GT3_3,61761.0,N.Y.C.
24101,ASTORIA_GT3_4,61761.0,N.Y.C.
24102,ASTORIA_GT4_1,61761.0,N.Y.C.
24103,ASTORIA_GT4_2,61761.0,N.Y.C.
24104,ASTORIA_GT4_3,61761.0,N.Y.C.
24105,ASTORIA_GT4_4,61761.0,N.Y.C.
