fips,Population,% in disadvantaged comunity,% low income (<200% poverty)
01001,55200.0,0.05335144927536232,0.30837880434782605
01003,208107.0,0.08257290720638902,0.2783045260370868
01005,25782.0,1.0,0.541644946086417
01007,22527.0,0.7855462334087984,0.4296075820126959
01009,57645.0,0.2050828345910313,0.3559052823315119
01011,10352.0,0.7159969088098919,0.4882496136012364
01013,20025.0,0.8475905118601748,0.4663056179775281
01015,115098.0,0.5830596535126588,0.39759335522771894
01017,33826.0,0.7079169869331283,0.42444924022940933
01019,25853.0,0.6437550767802576,0.4111534444745291
01021,43930.0,0.33562485772820394,0.41932938766218986
01023,13075.0,1.0,0.46922600382409185
01025,24387.0,0.573420264895231,0.45489892155656697
01027,13378.0,0.3975930632381522,0.4424099267454029
01029,14938.0,0.4580265095729013,0.3916053019145802
01031,51288.0,0.27725783809078147,0.3266871392918422
01033,54495.0,0.2757500688136526,0.36158987063033304
01035,12514.0,1.0,0.5303867668211604
01037,10855.0,0.3413173652694611,0.3878065407646246
01039,37351.0,0.6962865786725925,0.41498835372546916
01041,13865.0,0.6160836639019113,0.3989368914532997
01043,82313.0,0.2886785805401334,0.37712123236912765
01045,49255.0,0.48226575982133796,0.4089402091158258
01047,40029.0,0.6791076469559569,0.5432823702815459
01049,71200.0,0.3977247191011236,0.4816327247191011
01051,81212.0,0.020932867063980693,0.26939885731172736
01053,37328.0,0.8814027003857694,0.4613496570938706
01055,102939.0,0.6042316323259406,0.38285032883552406
01057,16585.0,0.7450708471510401,0.4427796201386796
01059,31542.0,0.8483926193646566,0.43809777439604336
01061,26491.0,0.592578611603941,0.4157042014268996
01063,8426.0,1.0,0.643683835746499
01065,14887.0,0.7661718277691946,0.49456572848794245
01067,17124.0,0.6183718757299697,0.3770672740014015
01069,104352.0,0.4720944495553511,0.39069418889911073
01071,52094.0,0.6072676315890506,0.43345548431681197
01073,659892.0,0.38187915598310024,0.3423366399350196
01075,13933.0,0.7113328070049523,0.4436632455321898
01077,92585.0,0.16648485175784414,0.3614149160231139
01079,33171.0,0.3166018510144403,0.3738717554490368
01081,159287.0,0.24252449980224375,0.3992942926918079
01083,93052.0,0.19380561406525385,0.30368718565963115
01085,10236.0,1.0,0.548272762797968
01087,19054.0,0.7961058045554739,0.47799202267240476
01089,357560.0,0.15258697840921803,0.27381365365253396
01091,19538.0,0.7805302487460334,0.4625391544682158
01093,29965.0,0.773769397630569,0.45656799599532794
01095,95145.0,0.5972988596352935,0.42161574439014143
01097,414659.0,0.4666412642677477,0.39158969177082864
01099,21512.0,0.7097433990330978,0.5018399033097807
01101,226941.0,0.38632067365526723,0.38544903741501085
01103,119122.0,0.32791591813434967,0.3548227027753059
01105,9486.0,1.0,0.6389795488087708
01107,20298.0,0.6531677997832299,0.4379850231549906
01109,33403.0,0.3205999461126246,0.45090770290093707
01111,22574.0,0.3548772924603526,0.41104367856826446
01113,58213.0,0.5803858244721969,0.42042430384965557
01115,87306.0,0.18797104437266626,0.3048205163448102
01117,211261.0,0.057284591098215,0.19867453055698875
01119,12985.0,0.5476318829418559,0.5762402772429727
01121,80565.0,0.6837212188915782,0.43554310184323225
01123,40636.0,0.47032188207500736,0.4284590018702628
01125,206213.0,0.2321871075053464,0.36814424890768277
01127,64493.0,0.637945203355403,0.41514986122524933
01129,16643.0,0.8520098539926696,0.4349936910412787
01131,10809.0,1.0,0.5718762142658895
01133,23875.0,0.7810680628272252,0.47096041884816753
02013,3425.0,0.0,0.34
02016,5750.0,0.0,0.23022260869565217
02020,296112.0,0.12220376073917977,0.2088049116550493
02050,18040.0,0.6439024390243903,0.5617627494456762
02060,890.0,0.0,0.21000000000000002
02068,2232.0,0.0,0.35
02070,4975.0,0.5346733668341709,0.4617889447236181
02090,99653.0,0.08395131104934121,0.22185333105877392
02100,2518.0,0.0,0.26
02105,2132.0,0.02204502814258912,0.31889774859287057
02110,32330.0,0.0,0.1629155583049799
02122,58220.0,0.00829611817244933,0.2910541051185159
02130,13804.0,0.0,0.24330701246015646
02150,13649.0,0.1365667814491904,0.22809949446845923
02164,1375.0,1.0,0.43
02170,103464.0,0.04572604964045465,0.24106626459444835
02180,9925.0,0.5884130982367758,0.4489017632241813
02185,9797.0,0.7099111973052975,0.2433326528529142
02188,7734.0,0.5748642358417377,0.5024592707525213
02195,3255.0,0.0,0.19
02198,6474.0,0.3527957985789311,0.36655854185974673
02220,8738.0,0.0,0.21475165941863125
02230,1061.0,0.0,0.2
02240,6876.0,0.32460732984293195,0.2721989528795812
02261,9301.0,0.0,0.21660574131813784
02270,4313.0,0.0,0.19
02275,2484.0,0.0,0.34
02282,689.0,0.0,0.35
02290,5415.0,0.7322253000923361,0.4696897506925208
04001,71522.0,0.7504124605016638,0.5978687676519112
04003,126279.0,0.4282739014404612,0.4040492084986419
04005,140217.0,0.20213668813339325,0.40364592025218066
04007,53400.0,0.5597565543071161,0.4408619850187266
04009,37879.0,0.4723725547136936,0.41620106127405687
04011,9504.0,0.600273569023569,0.33532091750841747
04012,20701.0,0.7271146321433747,0.4933085358195256
04013,4253913.0,0.2521088231000493,0.31337878560280824
04015,206064.0,0.44904495690659213,0.4024163366721018
04017,108705.0,0.7733590911181638,0.5164052251506369
04019,1017565.0,0.33392559689061635,0.36993899161232946
04021,419721.0,0.37691228220651335,0.34621655814219454
04023,46584.0,0.8884380903314443,0.5169122445474842
04025,224645.0,0.28258363195263636,0.33078893365087153
04027,207829.0,0.589248853624855,0.46206698776397886
05001,18124.0,0.5294085190907084,0.4133894283822556
05003,20537.0,0.7291717388128743,0.4149856356819399
05005,41219.0,0.5084063174749509,0.3810204032121109
