Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp,RampUP,RampDN
02/25/2022 01:00:00,02/25/2022 07:00:00,1,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 01:00:00,02/25/2022 07:00:00,2,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 01:00:00,02/25/2022 07:00:00,3,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 01:00:00,02/25/2022 07:00:00,4,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 01:00:00,02/25/2022 07:00:00,5,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 01:00:00,02/25/2022 07:00:00,SPP,12.2212,2.5001,4.8503,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,1,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,2,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,3,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,4,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,5,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 02:00:00,02/25/2022 08:00:00,SPP,11.4509,2.5001,4.5448,0.1490,,
02/25/2022 03:00:00,02/25/2022 09:00:00,1,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 03:00:00,02/25/2022 09:00:00,2,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 03:00:00,02/25/2022 09:00:00,3,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 03:00:00,02/25/2022 09:00:00,4,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 03:00:00,02/25/2022 09:00:00,5,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 03:00:00,02/25/2022 09:00:00,SPP,13.6008,2.5824,6.4865,0.1500,,
02/25/2022 04:00:00,02/25/2022 10:00:00,1,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 04:00:00,02/25/2022 10:00:00,2,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 04:00:00,02/25/2022 10:00:00,3,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 04:00:00,02/25/2022 10:00:00,4,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 04:00:00,02/25/2022 10:00:00,5,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 04:00:00,02/25/2022 10:00:00,SPP,13.4719,2.5020,6.0147,0.5000,,
02/25/2022 05:00:00,02/25/2022 11:00:00,1,12.0393,2.4953,8.1573,0.5000,,
02/25/2022 05:00:00,02/25/2022 11:00:00,2,12.0393,2.4953,8.1573,0.5000,,
02/25/2022 05:00:00,02/25/2022 11:00:00,3,12.0393,2.4953,8.1573,0.5000,,
02/25/2022 05:00:00,02/25/2022 11:00:00,4,12.0393,2.4953,8.1573,0.5000,,
