Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/14/2022 01:00:00,02/14/2022 07:00:00,1,7.3486,9.9829,0.1480,0.1480
02/14/2022 01:00:00,02/14/2022 07:00:00,2,7.3486,9.9829,0.1480,0.1480
02/14/2022 01:00:00,02/14/2022 07:00:00,3,7.3486,9.9829,0.1480,0.1480
02/14/2022 01:00:00,02/14/2022 07:00:00,4,7.3486,9.9829,0.1480,0.1480
02/14/2022 01:00:00,02/14/2022 07:00:00,5,7.3486,9.9829,0.1480,0.1480
02/14/2022 01:00:00,02/14/2022 07:00:00,SPP,7.3486,9.9829,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,1,9.9645,9.9827,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,2,9.9645,9.9827,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,3,9.9645,9.9827,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,4,9.9645,9.9827,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,5,9.9645,9.9827,0.1480,0.1480
02/14/2022 02:00:00,02/14/2022 08:00:00,SPP,9.9645,9.9827,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,1,9.3633,7.3847,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,2,9.3633,7.3847,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,3,9.3633,7.3847,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,4,9.3633,7.3847,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,5,9.3633,7.3847,0.1480,0.1480
02/14/2022 03:00:00,02/14/2022 09:00:00,SPP,9.3633,7.3847,0.1480,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,1,17.3958,3.5128,0.2501,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,2,17.3958,3.5128,0.2501,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,3,17.3958,3.5128,0.2501,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,4,17.3958,3.5128,0.2501,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,5,17.3958,3.5128,0.2501,0.1480
02/14/2022 04:00:00,02/14/2022 10:00:00,SPP,17.3958,3.5128,0.2501,0.1480
02/14/2022 05:00:00,02/14/2022 11:00:00,1,18.7254,2.9887,1.0001,0.1490
02/14/2022 05:00:00,02/14/2022 11:00:00,2,18.7254,2.9887,1.0001,0.1490
02/14/2022 05:00:00,02/14/2022 11:00:00,3,18.7254,2.9887,1.0001,0.1490
02/14/2022 05:00:00,02/14/2022 11:00:00,4,18.7254,2.9887,1.0001,0.1490
02/14/2022 05:00:00,02/14/2022 11:00:00,5,18.7254,2.9887,1.0001,0.1490
02/14/2022 05:00:00,02/14/2022 11:00:00,SPP,18.7254,2.9887,1.0001,0.1490
02/14/2022 06:00:00,02/14/2022 12:00:00,1,13.2096,2.9916,2.0004,0.1500
02/14/2022 06:00:00,02/14/2022 12:00:00,2,13.2096,2.9916,2.0004,0.1500
02/14/2022 06:00:00,02/14/2022 12:00:00,3,13.2096,2.9916,2.0004,0.1500
02/14/2022 06:00:00,02/14/2022 12:00:00,4,13.2096,2.9916,2.0004,0.1500
02/14/2022 06:00:00,02/14/2022 12:00:00,5,13.2096,2.9916,2.0004,0.1500
02/14/2022 06:00:00,02/14/2022 12:00:00,SPP,13.2096,2.9916,2.0004,0.1500
02/14/2022 07:00:00,02/14/2022 13:00:00,1,19.9566,2.5112,10.9581,3.0000
02/14/2022 07:00:00,02/14/2022 13:00:00,2,19.9566,2.5112,10.9581,3.0000
02/14/2022 07:00:00,02/14/2022 13:00:00,3,19.9566,2.5112,10.9581,3.0000
02/14/2022 07:00:00,02/14/2022 13:00:00,4,19.9566,2.5112,10.9581,3.0000
02/14/2022 07:00:00,02/14/2022 13:00:00,5,19.9566,2.5112,10.9581,3.0000
02/14/2022 07:00:00,02/14/2022 13:00:00,SPP,19.9566,2.5112,10.9581,3.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,1,28.4274,2.3369,25.0792,4.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,2,28.4274,2.3369,25.0792,4.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,3,28.4274,2.3369,25.0792,4.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,4,28.4274,2.3369,25.0792,4.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,5,28.4274,2.3369,25.0792,4.0000
02/14/2022 08:00:00,02/14/2022 14:00:00,SPP,28.4274,2.3369,25.0792,4.0000
02/14/2022 09:00:00,02/14/2022 15:00:00,1,13.9319,2.2858,10.5447,4.0000
02/14/2022 09:00:00,02/14/2022 15:00:00,2,13.9319,2.2858,10.5447,4.0000
02/14/2022 09:00:00,02/14/2022 15:00:00,3,13.9319,2.2858,10.5447,4.0000
02/14/2022 09:00:00,02/14/2022 15:00:00,4,13.9319,2.2858,10.5447,4.0000
02/14/2022 09:00:00,02/14/2022 15:00:00,5,13.9319,2.2858,10.5447,4.0000
