Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/01/2022 01:00:00,02/01/2022 07:00:00,1,4.0558,9.9886,2.0003,0.1480
02/01/2022 01:00:00,02/01/2022 07:00:00,2,4.0558,9.9886,2.0003,0.1480
02/01/2022 01:00:00,02/01/2022 07:00:00,3,4.0558,9.9886,2.0003,0.1480
02/01/2022 01:00:00,02/01/2022 07:00:00,4,4.0558,9.9886,2.0003,0.1480
02/01/2022 01:00:00,02/01/2022 07:00:00,5,4.0558,9.9886,2.0003,0.1480
02/01/2022 01:00:00,02/01/2022 07:00:00,SPP,4.0558,9.9886,2.0003,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,1,4.6269,9.9889,2.1480,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,2,4.6269,9.9889,2.1480,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,3,4.6269,9.9889,2.1480,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,4,4.6269,9.9889,2.1480,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,5,4.6269,9.9889,2.1480,0.1480
02/01/2022 02:00:00,02/01/2022 08:00:00,SPP,4.6269,9.9889,2.1480,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,1,4.4102,9.9871,2.0004,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,2,4.4102,9.9871,2.0004,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,3,4.4102,9.9871,2.0004,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,4,4.4102,9.9871,2.0004,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,5,4.4102,9.9871,2.0004,0.1480
02/01/2022 03:00:00,02/01/2022 09:00:00,SPP,4.4102,9.9871,2.0004,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,1,4.5114,9.9855,2.0001,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,2,4.5114,9.9855,2.0001,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,3,4.5114,9.9855,2.0001,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,4,4.5114,9.9855,2.0001,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,5,4.5114,9.9855,2.0001,0.1480
02/01/2022 04:00:00,02/01/2022 10:00:00,SPP,4.5114,9.9855,2.0001,0.1480
02/01/2022 05:00:00,02/01/2022 11:00:00,1,6.0000,9.9842,2.1496,0.1490
02/01/2022 05:00:00,02/01/2022 11:00:00,2,6.0000,9.9842,2.1496,0.1490
02/01/2022 05:00:00,02/01/2022 11:00:00,3,6.0000,9.9842,2.1496,0.1490
02/01/2022 05:00:00,02/01/2022 11:00:00,4,6.0000,9.9842,2.1496,0.1490
02/01/2022 05:00:00,02/01/2022 11:00:00,5,6.0000,9.9842,2.1496,0.1490
02/01/2022 05:00:00,02/01/2022 11:00:00,SPP,6.0000,9.9842,2.1496,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,1,15.7140,9.1165,2.1490,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,2,15.7140,9.1165,2.1490,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,3,15.7140,9.1165,2.1490,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,4,15.7140,9.1165,2.1490,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,5,15.7140,9.1165,2.1490,0.1490
02/01/2022 06:00:00,02/01/2022 12:00:00,SPP,15.7140,9.1165,2.1490,0.1490
02/01/2022 07:00:00,02/01/2022 13:00:00,1,14.6693,5.0681,9.5248,0.5002
02/01/2022 07:00:00,02/01/2022 13:00:00,2,14.6693,5.0681,9.5248,0.5002
02/01/2022 07:00:00,02/01/2022 13:00:00,3,14.6693,5.0681,9.5248,0.5002
02/01/2022 07:00:00,02/01/2022 13:00:00,4,14.6693,5.0681,9.5248,0.5002
02/01/2022 07:00:00,02/01/2022 13:00:00,5,14.6693,5.0681,9.5248,0.5002
02/01/2022 07:00:00,02/01/2022 13:00:00,SPP,14.6693,5.0681,9.5248,0.5002
02/01/2022 08:00:00,02/01/2022 14:00:00,1,16.2152,7.9995,5.4825,0.1500
02/01/2022 08:00:00,02/01/2022 14:00:00,2,16.2152,7.9995,5.4825,0.1500
02/01/2022 08:00:00,02/01/2022 14:00:00,3,16.2152,7.9995,5.4825,0.1500
02/01/2022 08:00:00,02/01/2022 14:00:00,4,16.2152,7.9995,5.4825,0.1500
02/01/2022 08:00:00,02/01/2022 14:00:00,5,16.2152,7.9995,5.4825,0.1500
02/01/2022 08:00:00,02/01/2022 14:00:00,SPP,16.2152,7.9995,5.4825,0.1500
02/01/2022 09:00:00,02/01/2022 15:00:00,1,12.8480,4.6112,11.4176,0.2500
02/01/2022 09:00:00,02/01/2022 15:00:00,2,12.8480,4.6112,11.4176,0.2500
02/01/2022 09:00:00,02/01/2022 15:00:00,3,12.8480,4.6112,11.4176,0.2500
02/01/2022 09:00:00,02/01/2022 15:00:00,4,12.8480,4.6112,11.4176,0.2500
02/01/2022 09:00:00,02/01/2022 15:00:00,5,12.8480,4.6112,11.4176,0.2500
02/01/2022 09:00:00,02/01/2022 15:00:00,SPP,12.8480,4.6112,11.4176,0.2500
02/01/2022 10:00:00,02/01/2022 16:00:00,1,12.6540,4.4017,6.1500,0.1500
02/01/2022 10:00:00,02/01/2022 16:00:00,2,12.6540,4.4017,6.1500,0.1500
02/01/2022 10:00:00,02/01/2022 16:00:00,3,12.6540,4.4017,6.1500,0.1500
02/01/2022 10:00:00,02/01/2022 16:00:00,4,12.6540,4.4017,6.1500,0.1500
02/01/2022 10:00:00,02/01/2022 16:00:00,5,12.6540,4.4017,6.1500,0.1500
02/01/2022 10:00:00,02/01/2022 16:00:00,SPP,12.6540,4.4017,6.1500,0.1500
02/01/2022 11:00:00,02/01/2022 17:00:00,1,11.8037,4.8882,7.5002,0.1490
02/01/2022 11:00:00,02/01/2022 17:00:00,2,11.8037,4.8882,7.5002,0.1490
02/01/2022 11:00:00,02/01/2022 17:00:00,3,11.8037,4.8882,7.5002,0.1490
02/01/2022 11:00:00,02/01/2022 17:00:00,4,11.8037,4.8882,7.5002,0.1490
02/01/2022 11:00:00,02/01/2022 17:00:00,5,11.8037,4.8882,7.5002,0.1490
02/01/2022 11:00:00,02/01/2022 17:00:00,SPP,11.8037,4.8882,7.5002,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,1,12.1429,4.7641,5.6223,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,2,12.1429,4.7641,5.6223,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,3,12.1429,4.7641,5.6223,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,4,12.1429,4.7641,5.6223,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,5,12.1429,4.7641,5.6223,0.1490
02/01/2022 12:00:00,02/01/2022 18:00:00,SPP,12.1429,4.7641,5.6223,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,1,11.6461,3.0191,6.1490,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,2,11.6461,3.0191,6.1490,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,3,11.6461,3.0191,6.1490,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,4,11.6461,3.0191,6.1490,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,5,11.6461,3.0191,6.1490,0.1490
02/01/2022 13:00:00,02/01/2022 19:00:00,SPP,11.6461,3.0191,6.1490,0.1490
02/01/2022 14:00:00,02/01/2022 20:00:00,1,12.9169,2.5000,6.1490,0.1490
02/01/2022 14:00:00,02/01/2022 20:00:00,2,12.9169,2.5000,6.1490,0.1490
02/01/2022 14:00:00,02/01/2022 20:00:00,3,12.9169,2.5000,6.1490,0.1490
