Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/18/2022 01:00:00,02/18/2022 07:00:00,1,8.7850,12.6677,1.7349,0.6700
02/18/2022 01:00:00,02/18/2022 07:00:00,2,8.7850,12.6677,1.7349,0.6700
02/18/2022 01:00:00,02/18/2022 07:00:00,3,8.7850,12.6677,1.7349,0.6700
02/18/2022 01:00:00,02/18/2022 07:00:00,4,8.7850,12.6677,1.7349,0.6700
02/18/2022 01:00:00,02/18/2022 07:00:00,5,8.7850,12.6677,1.7349,0.6700
02/18/2022 01:00:00,02/18/2022 07:00:00,SPP,8.7850,12.6677,1.7349,0.6700
02/18/2022 02:00:00,02/18/2022 08:00:00,1,8.0179,13.6778,1.5000,0.5001
02/18/2022 02:00:00,02/18/2022 08:00:00,2,8.0179,13.6778,1.5000,0.5001
02/18/2022 02:00:00,02/18/2022 08:00:00,3,8.0179,13.6778,1.5000,0.5001
02/18/2022 02:00:00,02/18/2022 08:00:00,4,8.0179,13.6778,1.5000,0.5001
02/18/2022 02:00:00,02/18/2022 08:00:00,5,8.0179,13.6778,1.5000,0.5001
02/18/2022 02:00:00,02/18/2022 08:00:00,SPP,8.0179,13.6778,1.5000,0.5001
02/18/2022 03:00:00,02/18/2022 09:00:00,1,8.5855,10.0291,1.2000,0.2000
02/18/2022 03:00:00,02/18/2022 09:00:00,2,8.5855,10.0291,1.2000,0.2000
02/18/2022 03:00:00,02/18/2022 09:00:00,3,8.5855,10.0291,1.2000,0.2000
02/18/2022 03:00:00,02/18/2022 09:00:00,4,8.5855,10.0291,1.2000,0.2000
02/18/2022 03:00:00,02/18/2022 09:00:00,5,8.5855,10.0291,1.2000,0.2000
02/18/2022 03:00:00,02/18/2022 09:00:00,SPP,8.5855,10.0291,1.2000,0.2000
02/18/2022 04:00:00,02/18/2022 10:00:00,1,8.1141,8.2205,1.1500,0.1500
02/18/2022 04:00:00,02/18/2022 10:00:00,2,8.1141,8.2205,1.1500,0.1500
02/18/2022 04:00:00,02/18/2022 10:00:00,3,8.1141,8.2205,1.1500,0.1500
02/18/2022 04:00:00,02/18/2022 10:00:00,4,8.1141,8.2205,1.1500,0.1500
02/18/2022 04:00:00,02/18/2022 10:00:00,5,8.1141,8.2205,1.1500,0.1500
02/18/2022 04:00:00,02/18/2022 10:00:00,SPP,8.1141,8.2205,1.1500,0.1500
02/18/2022 05:00:00,02/18/2022 11:00:00,1,9.5145,8.0568,1.1490,0.1490
02/18/2022 05:00:00,02/18/2022 11:00:00,2,9.5145,8.0568,1.1490,0.1490
02/18/2022 05:00:00,02/18/2022 11:00:00,3,9.5145,8.0568,1.1490,0.1490
02/18/2022 05:00:00,02/18/2022 11:00:00,4,9.5145,8.0568,1.1490,0.1490
02/18/2022 05:00:00,02/18/2022 11:00:00,5,9.5145,8.0568,1.1490,0.1490
02/18/2022 05:00:00,02/18/2022 11:00:00,SPP,9.5145,8.0568,1.1490,0.1490
02/18/2022 06:00:00,02/18/2022 12:00:00,1,13.8588,8.0247,3.0834,0.5000
02/18/2022 06:00:00,02/18/2022 12:00:00,2,13.8588,8.0247,3.0834,0.5000
02/18/2022 06:00:00,02/18/2022 12:00:00,3,13.8588,8.0247,3.0834,0.5000
02/18/2022 06:00:00,02/18/2022 12:00:00,4,13.8588,8.0247,3.0834,0.5000
02/18/2022 06:00:00,02/18/2022 12:00:00,5,13.8588,8.0247,3.0834,0.5000
02/18/2022 06:00:00,02/18/2022 12:00:00,SPP,13.8588,8.0247,3.0834,0.5000
02/18/2022 07:00:00,02/18/2022 13:00:00,1,18.9931,8.0256,8.6701,0.6700
02/18/2022 07:00:00,02/18/2022 13:00:00,2,18.9931,8.0256,8.6701,0.6700
02/18/2022 07:00:00,02/18/2022 13:00:00,3,18.9931,8.0256,8.6701,0.6700
02/18/2022 07:00:00,02/18/2022 13:00:00,4,18.9931,8.0256,8.6701,0.6700
02/18/2022 07:00:00,02/18/2022 13:00:00,5,18.9931,8.0256,8.6701,0.6700
02/18/2022 07:00:00,02/18/2022 13:00:00,SPP,18.9931,8.0256,8.6701,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,1,15.3071,9.5509,7.8662,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,2,15.3071,9.5509,7.8662,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,3,15.3071,9.5509,7.8662,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,4,15.3071,9.5509,7.8662,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,5,15.3071,9.5509,7.8662,0.6700
02/18/2022 08:00:00,02/18/2022 14:00:00,SPP,15.3071,9.5509,7.8662,0.6700
02/18/2022 09:00:00,02/18/2022 15:00:00,1,13.1941,7.9997,5.5953,0.6700
