Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp
02/05/2022 01:00:00,02/05/2022 07:00:00,1,14.0414,10.0242,4.6254,0.1490
02/05/2022 01:00:00,02/05/2022 07:00:00,2,14.0414,10.0242,4.6254,0.1490
02/05/2022 01:00:00,02/05/2022 07:00:00,3,14.0414,10.0242,4.6254,0.1490
02/05/2022 01:00:00,02/05/2022 07:00:00,4,14.0414,10.0242,4.6254,0.1490
02/05/2022 01:00:00,02/05/2022 07:00:00,5,14.0414,10.0242,4.6254,0.1490
02/05/2022 01:00:00,02/05/2022 07:00:00,SPP,14.0414,10.0242,4.6254,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,1,28.0269,10.0246,4.4849,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,2,28.0269,10.0246,4.4849,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,3,28.0269,10.0246,4.4849,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,4,28.0269,10.0246,4.4849,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,5,28.0269,10.0246,4.4849,0.1490
02/05/2022 02:00:00,02/05/2022 08:00:00,SPP,28.0269,10.0246,4.4849,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,1,9.4102,9.9844,4.0283,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,2,9.4102,9.9844,4.0283,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,3,9.4102,9.9844,4.0283,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,4,9.4102,9.9844,4.0283,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,5,9.4102,9.9844,4.0283,0.1490
02/05/2022 03:00:00,02/05/2022 09:00:00,SPP,9.4102,9.9844,4.0283,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,1,9.5114,9.9807,1.8095,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,2,9.5114,9.9807,1.8095,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,3,9.5114,9.9807,1.8095,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,4,9.5114,9.9807,1.8095,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,5,9.5114,9.9807,1.8095,0.1490
02/05/2022 04:00:00,02/05/2022 10:00:00,SPP,9.5114,9.9807,1.8095,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,1,35.5300,9.9878,2.0002,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,2,35.5300,9.9878,2.0002,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,3,35.5300,9.9878,2.0002,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,4,35.5300,9.9878,2.0002,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,5,35.5300,9.9878,2.0002,0.1490
02/05/2022 05:00:00,02/05/2022 11:00:00,SPP,35.5300,9.9878,2.0002,0.1490
02/05/2022 06:00:00,02/05/2022 12:00:00,1,17.1664,9.9817,1.1509,0.1500
02/05/2022 06:00:00,02/05/2022 12:00:00,2,17.1664,9.9817,1.1509,0.1500
02/05/2022 06:00:00,02/05/2022 12:00:00,3,17.1664,9.9817,1.1509,0.1500
02/05/2022 06:00:00,02/05/2022 12:00:00,4,17.1664,9.9817,1.1509,0.1500
02/05/2022 06:00:00,02/05/2022 12:00:00,5,17.1664,9.9817,1.1509,0.1500
02/05/2022 06:00:00,02/05/2022 12:00:00,SPP,17.1664,9.9817,1.1509,0.1500
02/05/2022 07:00:00,02/05/2022 13:00:00,1,25.3132,9.9852,1.6710,0.6700
02/05/2022 07:00:00,02/05/2022 13:00:00,2,25.3132,9.9852,1.6710,0.6700
02/05/2022 07:00:00,02/05/2022 13:00:00,3,25.3132,9.9852,1.6710,0.6700
02/05/2022 07:00:00,02/05/2022 13:00:00,4,25.3132,9.9852,1.6710,0.6700
02/05/2022 07:00:00,02/05/2022 13:00:00,5,25.3132,9.9852,1.6710,0.6700
02/05/2022 07:00:00,02/05/2022 13:00:00,SPP,25.3132,9.9852,1.6710,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,1,30.9064,10.0168,2.0003,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,2,30.9064,10.0168,2.0003,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,3,30.9064,10.0168,2.0003,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,4,30.9064,10.0168,2.0003,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,5,30.9064,10.0168,2.0003,0.6700
02/05/2022 08:00:00,02/05/2022 14:00:00,SPP,30.9064,10.0168,2.0003,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,1,19.9599,9.9829,2.6702,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,2,19.9599,9.9829,2.6702,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,3,19.9599,9.9829,2.6702,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,4,19.9599,9.9829,2.6702,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,5,19.9599,9.9829,2.6702,0.6700
02/05/2022 09:00:00,02/05/2022 15:00:00,SPP,19.9599,9.9829,2.6702,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,1,9.5000,10.0115,3.2328,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,2,9.5000,10.0115,3.2328,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,3,9.5000,10.0115,3.2328,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,4,9.5000,10.0115,3.2328,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,5,9.5000,10.0115,3.2328,0.6700
02/05/2022 10:00:00,02/05/2022 16:00:00,SPP,9.5000,10.0115,3.2328,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,1,21.5698,9.5781,8.1700,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,2,21.5698,9.5781,8.1700,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,3,21.5698,9.5781,8.1700,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,4,21.5698,9.5781,8.1700,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,5,21.5698,9.5781,8.1700,0.6700
02/05/2022 11:00:00,02/05/2022 17:00:00,SPP,21.5698,9.5781,8.1700,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,1,12.2988,12.4182,7.2820,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,2,12.2988,12.4182,7.2820,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,3,12.2988,12.4182,7.2820,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,4,12.2988,12.4182,7.2820,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,5,12.2988,12.4182,7.2820,0.6700
02/05/2022 12:00:00,02/05/2022 18:00:00,SPP,12.2988,12.4182,7.2820,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,1,7.9998,9.9815,3.5000,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,2,7.9998,9.9815,3.5000,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,3,7.9998,9.9815,3.5000,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,4,7.9998,9.9815,3.5000,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,5,7.9998,9.9815,3.5000,0.6700
02/05/2022 13:00:00,02/05/2022 19:00:00,SPP,7.9998,9.9815,3.5000,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,1,7.9997,9.9803,2.6701,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,2,7.9997,9.9803,2.6701,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,3,7.9997,9.9803,2.6701,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,4,7.9997,9.9803,2.6701,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,5,7.9997,9.9803,2.6701,0.6700
02/05/2022 14:00:00,02/05/2022 20:00:00,SPP,7.9997,9.9803,2.6701,0.6700
02/05/2022 15:00:00,02/05/2022 21:00:00,1,8.2151,9.9813,2.0001,0.2000
02/05/2022 15:00:00,02/05/2022 21:00:00,2,8.2151,9.9813,2.0001,0.2000
02/05/2022 15:00:00,02/05/2022 21:00:00,3,8.2151,9.9813,2.0001,0.2000
02/05/2022 15:00:00,02/05/2022 21:00:00,4,8.2151,9.9813,2.0001,0.2000
02/05/2022 15:00:00,02/05/2022 21:00:00,5,8.2151,9.9813,2.0001,0.2000
02/05/2022 15:00:00,02/05/2022 21:00:00,SPP,8.2151,9.9813,2.0001,0.2000
02/05/2022 16:00:00,02/05/2022 22:00:00,1,16.5460,9.9808,4.0000,0.6700
02/05/2022 16:00:00,02/05/2022 22:00:00,2,16.5460,9.9808,4.0000,0.6700
02/05/2022 16:00:00,02/05/2022 22:00:00,3,16.5460,9.9808,4.0000,0.6700
02/05/2022 16:00:00,02/05/2022 22:00:00,4,16.5460,9.9808,4.0000,0.6700
