Node ID,Node Name
0,PJM
48588,ADAMS
48589,ADAMS
48590,ALDENE
48591,ALDENE
48592,ALDENE
48593,ALDENE
48594,ATHENIA
48595,ATHENIA
48596,ATHENIA
48597,BAYONNE
48598,BAYONNE
48603,BELLEVIL
48604,BELLEVIL
48605,BENNETTS
48606,BENNETTS
48607,BERGEN
48608,BERGEN
48609,BERGEN
48610,BERGEN
48611,BERGEN
48612,BRIDGEWA
48613,BRIDGEWA
48614,BRIDGEWA
48615,BRIDGEWA
48616,BRUNSWIC
48617,BRUNSWIC
48618,BRUNSWIC
48619,CEDARGRO
48620,CEDARGRO
48621,CLIF PS
48622,CLIF PS
48623,COOKRD
48624,COOKRD
48625,COOKRD
48626,COOKRD
48627,DEVILSBR
48628,DEVILSBR
48629,DEYRD
48630,DOREMUSP
48631,DOREMUSP
48632,ESSEX
48633,ESSEX
48634,ERUTHERF
48635,ERUTHERF
48638,FAIRLAWN
48639,FAIRLAWN
48640,FAIRLAWN
48641,FANWOOD
48642,FANWOOD
48643,FOUNDRY
48644,FOUNDRY
48645,GREENBRO
48646,GREENBRO
48647,HAWTHORN
48648,HILLSDAL
48649,HILLSDAL
48650,HINCHMAN
48651,HINCHMAN
48652,HOBOKEN
48653,HOBOKEN
48654,HOMESTEA
48655,HOMESTEA
48656,HOMESTEA
48657,HOMESTEA
48658,JACK PS
48659,JACK PS
48660,KILMER
48661,KILMER
48662,KILMER
48663,KILMER
48664,KINGSLAN
48665,KINGSLAN
48666,KULLERRD
48667,KULLERRD
48668,LAFA PS
48669,LAFA PS
48670,LAURELAV
48671,LAURELAV
48672,LAURELAV
48673,LAURELAV
48674,LEONIA
48675,LEONIA
48676,LEONIA
48677,LEONIA
48678,LINDEN
48679,LINDEN
48680,LINDEN
48681,LAKENELS
48682,LAKENELS
48683,MEADOWRD
48684,MEADOWRD
48685,METUCHEN
48686,METUCHEN
48687,MINUEST
48688,MINUEST
48689,MARION
48690,MARION
48691,MARION
48692,MARION
48693,MARION
48694,MARIONDR
48695,MARIONDR
48696,MAYWOOD
48697,MAYWOOD
48698,MAYWOOD
48699,MAYWOOD
48700,NEWMILFR
48701,NEWMILFR
48702,NEWARK
48703,NEWARK
48704,NEWARK
48705,NEWDOVER
48706,NEWDOVER
48707,NEWP PS
48708,NEWP PS
48709,NJTMEADO
48710,NJTMEADO
48711,NORTHAV
48712,NORTHAV
48713,NBERGEN
48714,NBERGEN
48715,PENHORN
48716,PENHORN
48717,PIERSOAV
48718,PIERSOAV
48719,PLAINSBU
48720,PLAINSBU
48721,PVSC
48722,PVSC
48723,SADDLEBR
48724,SADDLEBR
48725,SEWAREN
48727,SOMERVIL
48728,SOMERVIL
48729,SPRINGRD
48730,SPRINGRD
48731,SUNNYMEA
48732,SUNNYMEA
48733,SWATERFR
48734,SWATERFR
48735,TURNPIKE
48736,TURNPIKE
48737,WCALDWEL
48738,WCALDWEL
48739,WCALDWEL
48740,WCALDWEL
48741,WORANGE
48742,WORANGE
48743,WORANGE
48744,WALDWICK
48745,WALDWICK
48747,WARINANC
48748,WARINANC
48749,WOODBRID
48750,WOODBRID
48751,BEAVERBR
48752,BEAVERBR
48754,BURLINGT
48755,BUSTLETO
48756,BUSTLETO
48757,CAMDEN
48758,CAMDEN
48759,CAMDEN
48760,CAMDEN
48761,CAMDEN
48762,CINNAMIN
48763,CINNAMIN
48764,CINNAMIN
48765,CLARKSVI
48766,CLARKSVI
48767,CROSSWIC
48768,CROSSWIC
48769,CUTHBERT
48770,CUTHBERT
48771,CUTHBERT
48772,CUTHBERT
48773,DEPTFORD
48774,DEPTFORD
48775,GLOUCEST
48776,GLOUCEST
48780,HOPECREE
48781,HOPECREE
48782,HOPECREE
48783,HOPECREE
48784,KUSERRD
48785,KUSERRD
48786,KUSERRD
48787,KUSERRD
48790,LAWRENCE
48791,LAWRENCE
48792,LAWRESUB
48793,LAWRESUB
48794,LAWRESUB
48795,LAWRESUB
48796,LEVITTOW
48797,LEVITTOW
48798,LEVITTOW
48799,LEVITTOW
48800,LUMBERTO
48801,LUMBERTO
48802,MARLTON
48803,MARLTON
48804,MARLTON
48805,MARLTON
48806,MERCER
48807,MERCER
48808,MTLAUREL
48809,MTLAUREL
48810,SALEM
48811,SALEM
48812,SAMPTON
48813,THOROFAR
48814,THOROFAR
48818,TRENTON
48819,ANGORA
48820,ANGORA
48821,BALA
48822,BALA
48823,BARBADOS
48824,BARBADOS
48825,BARBADOS
48826,BARBADOS
48829,BLUEGRAS
48830,BLUEBALL
48831,BLUEBALL
48832,BRADFORD
48833,BRADFORD
48834,BRISTOL
48835,BRISTOL
48836,BRYNMAWR
48837,BRYNMAWR
48840,BUCKINGH
48841,BUCKINGH
48842,BUCKINGH
48843,BUCKINGH
48847,BYBERRY
48848,BYBERRY
48849,BYBERRY
48850,BYBERRY
48851,BYBERRY
48852,CALLOWHI
48853,CALLOWHI
48854,CALLOWHI
48855,CEDARBRO
48856,CEDARBRO
48857,CEDARBRO
48858,CEDARBRO
48859,CHESTER
48862,CHICHEST
48863,CHICHEST
48864,CLAY PE
48865,COCHRNVL
48866,CONC PE
48867,CROMBY
48868,CROMBY
48869,CROMBY
48870,CROMBY
48871,CROMBY
48872,CROMBY
48873,CROYDON
48874,CROYDON
48880,DALESVIL
48881,DALESVIL
48882,DELA PE
48883,DELA PE
48884,EDDINGTO
48885,EDDINGTO
48886,EDDYSTON
48887,EDDYSTON
48888,EDDYSTON
48889,EDDYSTON
48890,EDDYSTON
48893,ELROY
48894,EMILIE
48895,EMILIE
48896,EMILIE
48897,EMILIE
48898,FALLS
48899,FALLS
48900,FLINT
48901,FLINT
48902,FOULK
48903,FOULK
48904,FOXCHASE
48905,FOXCHASE
48907,GOSHEN
48908,GOSHEN
48912,GRAYFR_1
48913,HEATON
48914,HEATON
