year,month,day,hour,load,pv,pv0
2016,1,1,1,338.0087877,0,0
2016,1,1,2,323.7256561,0,0
2016,1,1,3,277.9376987,0,0
2016,1,1,4,270.6926778,0,0
2016,1,1,5,273.9790525,0,0
2016,1,1,6,286.2144828,0,0
2016,1,1,7,431.4628656,0,0
2016,1,1,8,576.7620674,1.40384,0
2016,1,1,9,686.1388709,16.68476,0
2016,1,1,10,588.6510987,34.04774,0
2016,1,1,11,522.7939711,48.38738,0
2016,1,1,12,515.4439762,56.15367,0
2016,1,1,13,515.2794186,57.00919,0
2016,1,1,14,476.3254026,51.4856,0
2016,1,1,15,471.5905035,39.40624,0
2016,1,1,16,476.72544,24.52051,0
2016,1,1,17,486.6440456,6.0926,0
2016,1,1,18,523.8526166,0,0
2016,1,1,19,675.5453019,0,0
2016,1,1,20,714.4760745,0,0
2016,1,1,21,755.3969341,0,0
2016,1,1,22,711.7815707,0,0
2016,1,1,23,613.1110427,0,0
2016,1,1,24,434.3847729,0,0
2016,1,2,1,315.7744462,0,0
2016,1,2,2,283.4949265,0,0
2016,1,2,3,256.978342,0,0
2016,1,2,4,249.0629523,0,0
2016,1,2,5,256.2876708,0,0
2016,1,2,6,316.9714079,0,0
2016,1,2,7,550.1086992,0,0
2016,1,2,8,695.5571784,1.32537,0
2016,1,2,9,607.3026686,8.72152,0
2016,1,2,10,574.3133281,32.10438,0
2016,1,2,11,496.9623493,34.51964,0
2016,1,2,12,497.5435567,39.51531,0
2016,1,2,13,495.3939649,39.12569,0
2016,1,2,14,477.3029824,35.42093,0
2016,1,2,15,479.420054,19.82613,0
2016,1,2,16,480.967285,16.38277,0
2016,1,2,17,484.828451,3.44718,0
2016,1,2,18,551.3501866,0,0
2016,1,2,19,690.8258511,0,0
2016,1,2,20,722.9664232,0,0
2016,1,2,21,772.1509614,0,0
2016,1,2,22,735.0227684,0,0
2016,1,2,23,597.3399848,0,0
2016,1,2,24,417.5474174,0,0
2016,1,3,1,316.0695036,0,0
2016,1,3,2,286.1624124,0,0
2016,1,3,3,267.5826374,0,0
2016,1,3,4,267.4882554,0,0
2016,1,3,5,275.4959749,0,0
2016,1,3,6,332.6965797,0,0
2016,1,3,7,567.109464,0,0
2016,1,3,8,701.8386455,0,0
2016,1,3,9,613.3706634,9.6987,0
2016,1,3,10,572.2164206,14.28047,0
2016,1,3,11,502.6426002,26.43174,0
2016,1,3,12,498.8066619,33.70188,0
2016,1,3,13,496.5912988,26.36209,0
2016,1,3,14,475.840658,21.36031,0
2016,1,3,15,477.3780801,21.15927,0
2016,1,3,16,482.6597442,13.4282,0
2016,1,3,17,525.0777422,1.98664,0
2016,1,3,18,577.293673,0,0
2016,1,3,19,682.9464347,0,0
2016,1,3,20,700.7140782,0,0
2016,1,3,21,772.1441428,0,0
2016,1,3,22,734.8895704,0,0
2016,1,3,23,596.1187136,0,0
2016,1,3,24,412.10689,0,0
2016,1,4,1,311.8014539,0,0
2016,1,4,2,283.0274325,0,0
2016,1,4,3,259.1293013,0,0
2016,1,4,4,252.0892794,0,0
2016,1,4,5,255.2274198,0,0
2016,1,4,6,314.5437103,0,0
2016,1,4,7,546.7514047,0,0
2016,1,4,8,695.3267715,0,0
2016,1,4,9,582.1962878,2.56643,0
2016,1,4,10,535.3672095,3.31227,0
2016,1,4,11,458.9414583,5.46365,0
2016,1,4,12,502.4585882,8.45545,0
2016,1,4,13,503.6368619,9.10074,0
2016,1,4,14,481.395174,7.86347,0
2016,1,4,15,485.070179,5.98896,0
2016,1,4,16,467.4215788,3.27807,0
2016,1,4,17,454.3212277,0.97954,0
2016,1,4,18,527.345783,0,0
2016,1,4,19,667.8964932,0,0
2016,1,4,20,690.720442,0,0
2016,1,4,21,754.2708809,0,0
2016,1,4,22,734.2984927,0,0
2016,1,4,23,572.6753456,0,0
2016,1,4,24,395.2226201,0,0
2016,1,5,1,298.412579,0,0
2016,1,5,2,270.9634991,0,0
2016,1,5,3,245.7046254,0,0
2016,1,5,4,236.9485573,0,0
2016,1,5,5,244.7963999,0,0
2016,1,5,6,304.0182669,0,0
2016,1,5,7,537.329137,0,0
2016,1,5,8,687.1659781,0.13123,0
2016,1,5,9,575.5267089,3.16458,0
2016,1,5,10,547.3149592,12.08992,0
2016,1,5,11,501.0854876,9.40354,0
2016,1,5,12,501.7451571,12.66374,0
2016,1,5,13,497.1714804,11.248,0
2016,1,5,14,475.3612466,11.72781,0
2016,1,5,15,476.2672718,8.0136,0
2016,1,5,16,479.7475803,5.54169,0
2016,1,5,17,498.2075458,2.36502,0
2016,1,5,18,551.5884282,0,0
2016,1,5,19,684.0769657,0,0
2016,1,5,20,704.2389093,0,0
2016,1,5,21,763.9474148,0,0
2016,1,5,22,735.4601901,0,0
2016,1,5,23,581.7754916,0,0
2016,1,5,24,400.8599246,0,0
2016,1,6,1,302.0294889,0,0
2016,1,6,2,273.0829228,0,0
2016,1,6,3,248.9899865,0,0
2016,1,6,4,244.5197424,0,0
2016,1,6,5,252.4676384,0,0
2016,1,6,6,312.3229413,0,0
2016,1,6,7,542.2468042,0,0
2016,1,6,8,692.2086398,0.64708,0
2016,1,6,9,597.9160122,6.14011,0
2016,1,6,10,577.9359339,13.9953,0
2016,1,6,11,484.3948973,16.83739,0
2016,1,6,12,460.4502124,18.81331,0
2016,1,6,13,500.8134524,50.51635,0
2016,1,6,14,481.5755387,45.19486,0
2016,1,6,15,480.8463074,37.21342,0
2016,1,6,16,483.0909678,26.92106,0
2016,1,6,17,473.7426754,9.73056,0
2016,1,6,18,535.6785457,0,0
2016,1,6,19,671.1379088,0,0
2016,1,6,20,689.9327968,0,0
2016,1,6,21,748.6874284,0,0
2016,1,6,22,734.0791797,0,0
2016,1,6,23,578.0459584,0,0
2016,1,6,24,401.0434756,0,0
2016,1,7,1,307.422151,0,0
2016,1,7,2,298.0239414,0,0
2016,1,7,3,250.9970619,0,0
2016,1,7,4,243.6298562,0,0
2016,1,7,5,252.7239175,0,0
2016,1,7,6,271.015309,0,0
2016,1,7,7,433.9969871,0,0
2016,1,7,8,556.0983867,0.14872,0
2016,1,7,9,685.0453695,3.87411,0
2016,1,7,10,586.7863572,9.60182,0
2016,1,7,11,468.8764035,15.50015,0
2016,1,7,12,416.7520339,20.43699,0
2016,1,7,13,420.9376392,21.87008,0
2016,1,7,14,449.6887167,15.57291,0
2016,1,7,15,458.8405848,14.50548,0
2016,1,7,16,471.1428323,9.16247,0
2016,1,7,17,442.0438895,2.6858,0
2016,1,7,18,484.6979914,0,0
2016,1,7,19,632.7538145,0,0
2016,1,7,20,655.8620819,0,0
2016,1,7,21,692.5377405,0,0
2016,1,7,22,688.3900925,0,0
2016,1,7,23,588.3656959,0,0
2016,1,7,24,406.0401464,0,0
2016,1,8,1,314.8741056,0,0
2016,1,8,2,300.340554,0,0
2016,1,8,3,257.6232247,0,0
2016,1,8,4,253.4756145,0,0
2016,1,8,5,260.5405175,0,0
2016,1,8,6,274.9692476,0,0
2016,1,8,7,414.7434631,0,0
2016,1,8,8,559.9154794,0.56839,0
2016,1,8,9,687.1785069,6.21628,0
2016,1,8,10,593.1690153,7.57706,0
2016,1,8,11,525.3560358,29.72222,0
2016,1,8,12,514.5064855,18.2354,0
2016,1,8,13,512.7576131,16.6652,0
2016,1,8,14,478.0394742,12.39047,0
2016,1,8,15,474.1241681,19.36175,0
2016,1,8,16,479.3868331,17.81934,0
2016,1,8,17,471.0100468,6.50389,0
2016,1,8,18,513.5999166,0,0
2016,1,8,19,663.3479649,0,0
2016,1,8,20,702.6474588,0,0
2016,1,8,21,755.95235,0,0
2016,1,8,22,709.6534196,0,0
2016,1,8,23,604.5977136,0,0
2016,1,8,24,432.0127427,0,0
2016,1,9,1,310.3995818,0,0
2016,1,9,2,282.0208385,0,0
2016,1,9,3,260.8657872,0,0
2016,1,9,4,250.6335051,0,0
2016,1,9,5,254.9437256,0,0
2016,1,9,6,313.8316982,0,0
2016,1,9,7,543.6443158,0,0
2016,1,9,8,691.2395362,0.5317,0
2016,1,9,9,602.1583665,11.71824,0
2016,1,9,10,575.8543404,29.53698,0
2016,1,9,11,500.2066058,26.79341,0
2016,1,9,12,499.7320783,24.7476,0
2016,1,9,13,496.9791594,39.70494,0
2016,1,9,14,478.8634599,24.27034,0
2016,1,9,15,479.0933673,30.20087,0
2016,1,9,16,481.772658,9.79238,0
2016,1,9,17,475.0765067,1.58262,0
2016,1,9,18,546.8380128,0,0
2016,1,9,19,685.1589754,0,0
2016,1,9,20,703.2255846,0,0
2016,1,9,21,762.5304874,0,0
2016,1,9,22,735.5215186,0,0
2016,1,9,23,576.6341572,0,0
2016,1,9,24,395.7387591,0,0
2016,1,10,1,297.787806,0,0
2016,1,10,2,270.3796051,0,0
2016,1,10,3,246.2661912,0,0
2016,1,10,4,241.5397161,0,0
2016,1,10,5,250.4661395,0,0
2016,1,10,6,309.5912756,0,0
2016,1,10,7,540.6559964,0,0
2016,1,10,8,689.8436271,1.34601,0
2016,1,10,9,598.6290636,12.03727,0
2016,1,10,10,577.1266205,18.56124,0
2016,1,10,11,503.5322639,32.6144,0
2016,1,10,12,503.3508574,41.0422,0
2016,1,10,13,499.9605109,32.19097,0
2016,1,10,14,479.7370949,25.11211,0
2016,1,10,15,477.9684142,17.89432,0
2016,1,10,16,480.3752433,9.82709,0
2016,1,10,17,492.0735855,1.80661,0
2016,1,10,18,543.3472326,0,0
2016,1,10,19,676.1044831,0,0
2016,1,10,20,693.082548,0,0
2016,1,10,21,751.066605,0,0
2016,1,10,22,734.490159,0,0
2016,1,10,23,570.3650683,0,0
2016,1,10,24,396.3697177,0,0
2016,1,11,1,297.0528043,0,0
2016,1,11,2,267.7235134,0,0
2016,1,11,3,244.9541479,0,0
2016,1,11,4,237.8637849,0,0
2016,1,11,5,246.9936515,0,0
2016,1,11,6,305.181125,0,0
2016,1,11,7,534.9707548,0,0
2016,1,11,8,683.9834256,0.70317,0
2016,1,11,9,575.3238056,6.4041,0
2016,1,11,10,539.6829096,8.89151,0
2016,1,11,11,499.7212388,10.44209,0
2016,1,11,12,502.882594,55.99769,0
2016,1,11,13,503.2733827,56.02595,0
2016,1,11,14,479.4827215,50.17017,0
2016,1,11,15,477.6125067,35.05528,0
2016,1,11,16,479.5895987,16.14281,0
2016,1,11,17,487.5907454,5.60047,0
2016,1,11,18,539.1690981,0,0
2016,1,11,19,676.4495798,0,0
2016,1,11,20,699.0973822,0,0
2016,1,11,21,759.119854,0,0
2016,1,11,22,734.7400492,0,0
2016,1,11,23,586.4391483,0,0
2016,1,11,24,407.2723049,0,0
2016,1,12,1,308.8970594,0,0
2016,1,12,2,281.7628441,0,0
2016,1,12,3,256.6847309,0,0
2016,1,12,4,249.5553291,0,0
2016,1,12,5,256.3006165,0,0
2016,1,12,6,314.9095642,0,0
2016,1,12,7,548.0280931,0,0
2016,1,12,8,694.285856,1.15166,0
2016,1,12,9,602.9758291,13.70734,0
2016,1,12,10,575.1945287,31.98188,0
2016,1,12,11,498.4149778,45.68771,0
2016,1,12,12,495.9872714,49.81425,0
2016,1,12,13,493.732638,57.58434,0
2016,1,12,14,476.0879475,52.9879,0
2016,1,12,15,475.9321391,42.92746,0
2016,1,12,16,453.5705308,27.24885,0
2016,1,12,17,446.0000535,8.47703,0
2016,1,12,18,529.4559726,0,0
2016,1,12,19,675.0745754,0,0
2016,1,12,20,700.863072,0,0
2016,1,12,21,764.181581,0,0
2016,1,12,22,735.2726087,0,0
2016,1,12,23,591.9239485,0,0
2016,1,12,24,413.9516543,0,0
2016,1,13,1,312.4967149,0,0
2016,1,13,2,282.0248604,0,0
2016,1,13,3,259.9119989,0,0
2016,1,13,4,257.3084126,0,0
2016,1,13,5,268.9831134,0,0
2016,1,13,6,327.8082558,0,0
2016,1,13,7,561.2292279,0,0
2016,1,13,8,701.3844787,1.81971,0
2016,1,13,9,563.34621,15.27561,0
2016,1,13,10,504.0585018,32.70064,0
2016,1,13,11,413.3873783,45.36234,0
2016,1,13,12,447.4866952,53.88994,0
2016,1,13,13,502.7766038,53.09573,0
2016,1,13,14,482.7882087,45.29119,0
2016,1,13,15,483.1320037,19.1201,0
2016,1,13,16,483.5946915,17.634,0
2016,1,13,17,468.6185427,9.23246,0
2016,1,13,18,525.5717327,0,0
2016,1,13,19,664.2900806,0,0
2016,1,13,20,685.0112584,0,0
2016,1,13,21,749.6630764,0,0
2016,1,13,22,734.0490599,0,0
2016,1,13,23,574.6816752,0,0
2016,1,13,24,396.5136502,0,0
2016,1,14,1,302.9271639,0,0
2016,1,14,2,294.9449756,0,0
2016,1,14,3,252.9716957,0,0
2016,1,14,4,250.127604,0,0
2016,1,14,5,261.2684032,0,0
2016,1,14,6,275.0724046,0,0
2016,1,14,7,432.1142484,0,0
2016,1,14,8,549.9864342,2.07871,0
2016,1,14,9,684.2228374,6.25734,0
2016,1,14,10,590.6925714,10.70766,0
2016,1,14,11,494.9986388,26.44814,0
2016,1,14,12,510.1479182,18.90797,0
2016,1,14,13,514.1162539,57.89515,0
2016,1,14,14,492.7785682,46.81301,0
2016,1,14,15,488.1957802,36.09013,0
2016,1,14,16,495.1395999,8.08697,0
2016,1,14,17,484.3830168,4.4097,0
2016,1,14,18,518.8555817,0,0
2016,1,14,19,671.3620829,0,0
2016,1,14,20,695.2813255,0,0
2016,1,14,21,736.646755,0,0
2016,1,14,22,732.1372895,0,0
2016,1,14,23,632.8764182,0,0
2016,1,14,24,440.6576205,0,0
2016,1,15,1,331.7469381,0,0
2016,1,15,2,317.6736219,0,0
2016,1,15,3,279.3119525,0,0
2016,1,15,4,274.0944455,0,0
2016,1,15,5,283.4237504,0,0
2016,1,15,6,301.1851516,0,0
2016,1,15,7,445.4247034,0,0
2016,1,15,8,579.5238936,1.1011,0
2016,1,15,9,685.3748149,13.72635,0
2016,1,15,10,595.5033671,31.43899,0
2016,1,15,11,495.2494263,45.08029,0
2016,1,15,12,482.1276296,53.19531,0
2016,1,15,13,467.3659582,54.42937,0
2016,1,15,14,448.1330347,49.89885,0
2016,1,15,15,479.8048206,39.90143,0
2016,1,15,16,455.9949394,24.7705,0
2016,1,15,17,439.6466149,6.78286,0
2016,1,15,18,450.9820476,0,0
2016,1,15,19,656.3942018,0,0
2016,1,15,20,718.9849185,0,0
2016,1,15,21,727.5071894,0,0
2016,1,15,22,710.1143375,0,0
2016,1,15,23,622.6781154,0,0
2016,1,15,24,468.7248925,0,0
2016,1,16,1,284.3123958,0,0
2016,1,16,2,295.0387742,0,0
2016,1,16,3,263.4855604,0,0
2016,1,16,4,266.1661766,0,0
2016,1,16,5,279.4156212,0,0
2016,1,16,6,298.8349031,0,0
2016,1,16,7,465.4250194,0,0
2016,1,16,8,595.3493648,2.61179,0
2016,1,16,9,688.9206853,19.54193,0
2016,1,16,10,598.5939056,38.42913,0
2016,1,16,11,529.8644952,51.67443,0
2016,1,16,12,526.7992592,60.13985,0
2016,1,16,13,524.063502,62.06133,0
2016,1,16,14,433.7166275,58.20299,0
2016,1,16,15,398.0047517,47.70174,0
2016,1,16,16,372.4237567,31.55912,0
2016,1,16,17,394.7221131,11.56799,0
2016,1,16,18,440.9313122,0,0
2016,1,16,19,604.0813823,0,0
2016,1,16,20,661.5473637,0,0
2016,1,16,21,729.3931086,0,0
2016,1,16,22,695.7058926,0,0
2016,1,16,23,595.3412908,0,0
2016,1,16,24,426.9531706,0,0
2016,1,17,1,311.0084893,0,0
2016,1,17,2,279.3562521,0,0
2016,1,17,3,256.2095478,0,0
2016,1,17,4,253.7563668,0,0
2016,1,17,5,264.2664751,0,0
2016,1,17,6,329.4132463,0,0
2016,1,17,7,560.7447563,0,0
2016,1,17,8,702.0789368,2.06152,0
2016,1,17,9,579.5545433,18.76896,0
2016,1,17,10,577.1978075,37.76722,0
2016,1,17,11,508.2294795,51.49848,0
2016,1,17,12,511.0269974,58.23552,0
2016,1,17,13,502.4669827,59.30461,0
2016,1,17,14,467.751706,55.01075,0
2016,1,17,15,454.130597,43.43895,0
2016,1,17,16,432.8946216,30.74354,0
2016,1,17,17,444.8614189,11.05551,0
2016,1,17,18,498.7829283,0,0
2016,1,17,19,640.1783994,0,0
2016,1,17,20,653.4381737,0,0
2016,1,17,21,749.6860643,0,0
2016,1,17,22,739.241928,0,0
2016,1,17,23,593.3605006,0,0
2016,1,17,24,421.9710603,0,0
2016,1,18,1,263.7686646,0,0
2016,1,18,2,254.6010184,0,0
2016,1,18,3,242.493431,0,0
2016,1,18,4,245.7386939,0,0
2016,1,18,5,324.9444401,0,0
2016,1,18,6,294.5682879,0,0
2016,1,18,7,573.608228,0,0
2016,1,18,8,699.2379981,2.59151,0
2016,1,18,9,574.0095898,19.23392,0
2016,1,18,10,498.1411347,38.28725,0
2016,1,18,11,412.1737201,52.19752,0
2016,1,18,12,391.0488938,60.29278,0
2016,1,18,13,370.8523812,61.47398,0
2016,1,18,14,358.822993,57.67588,0
2016,1,18,15,419.0474091,47.35116,0
2016,1,18,16,454.666291,31.2949,0
2016,1,18,17,396.6626518,11.98289,0
2016,1,18,18,456.9019167,0,0
2016,1,18,19,619.0370616,0,0
