Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
02/01/2022 01:00:00,02/01/2022 07:00:00,AEC,SOUC,21.4636,-0.0326,22.8525,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_CSWS,CSWS_AECC_LA,23.4942,-0.0581,24.9085,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,22.9565,-0.0422,24.3549,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,23.1603,-0.0766,24.5932,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,23.9119,-0.0203,25.2884,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,20.0161,-0.0406,21.4129,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,21.4952,-0.0713,22.9228,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,19.2464,-0.0239,20.6265,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AECI,AECI,20.9923,-0.0157,22.3642,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,AEPM_CSWS,CSWS_LA,14.4651,-0.0627,15.8840,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,ALTW,MISO,12.5304,0.0067,13.8800,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,AMRN,MISO,12.5304,0.0067,13.8800,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,-16.3851,-0.1152,-14.9136,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BBA,MISO,12.5304,0.0067,13.8800,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BCA,MISO,12.5304,0.0067,13.8800,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,-9.9243,0.1112,-8.6792,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,-13.9530,0.2248,-12.8216,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,BLKW,BLKW,2.7269,-0.1945,4.2777,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,-9.5206,0.0549,-8.2193,-1.3562
02/01/2022 01:00:00,02/01/2022 07:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,-8.7407,-0.0009,-7.3835,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,-9.5232,0.0524,-8.2193,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BRAZ,MISO,12.5304,0.0067,13.8800,-1.3563
02/01/2022 01:00:00,02/01/2022 07:00:00,BUBA,MISO,12.5304,0.0067,13.8800,-1.3563
