,month,day,hour,wind_power_pu
0,1,1,1,0.5088952075599393
1,1,1,2,0.5923055461806718
2,1,1,3,0.6088602654966815
3,1,1,4,0.43838029024638214
4,1,1,5,0.4344207109911314
5,1,1,6,0.5191769152885908
6,1,1,7,0.690696040049494
7,1,1,8,0.8050021599730159
8,1,1,9,0.8757339633255414
9,1,1,10,0.9636235459557341
10,1,1,11,0.9937882551467848
11,1,1,12,0.9994927325908367
12,1,1,13,0.9997167397907515
13,1,1,14,0.9997329733378315
14,1,1,15,0.999642434469568
15,1,1,16,0.9992188885138911
16,1,1,17,0.9980599617504704
17,1,1,18,0.9976469569130274
18,1,1,19,0.9976392057599113
19,1,1,20,0.997438654516805
20,1,1,21,0.9959287546405553
21,1,1,22,0.9937300146248012
22,1,1,23,0.9919445606929724
23,1,1,24,0.9918752615592109
24,1,2,1,0.9904020362245202
25,1,2,2,0.989176409044867
26,1,2,3,0.9806618404769922
27,1,2,4,0.9666677691529098
28,1,2,5,0.9403570480369471
29,1,2,6,0.8663822814715222
30,1,2,7,0.7306557093036687
31,1,2,8,0.6118376757790788
32,1,2,9,0.5156803802452617
33,1,2,10,0.4666752390595276
34,1,2,11,0.4687025087186553
35,1,2,12,0.44348522893465553
36,1,2,13,0.4524208572393126
37,1,2,14,0.4896432782090376
38,1,2,15,0.5609511756103074
39,1,2,16,0.5875641354483296
40,1,2,17,0.5550829789627765
41,1,2,18,0.4977310383620191
42,1,2,19,0.4760123523455939
43,1,2,20,0.5199226459669309
44,1,2,21,0.4952073799077569
45,1,2,22,0.45945204184948135
46,1,2,23,0.41039942625717707
47,1,2,24,0.3368562267971655
48,1,3,1,0.3074999212509876
49,1,3,2,0.2736091348858165
50,1,3,3,0.23179039262010434
51,1,3,4,0.20089191135112808
52,1,3,5,0.22084913938577197
53,1,3,6,0.2207370795365178
54,1,3,7,0.23109924625943418
55,1,3,8,0.2580200134998355
56,1,3,9,0.24787383282709258
57,1,3,10,0.22649732253347807
58,1,3,11,0.22532218472269938
59,1,3,12,0.2872383170210358
60,1,3,13,0.3409258859264331
61,1,3,14,0.37980620992238245
62,1,3,15,0.3589687141410794
