Node ID,Node Name,Zone ID,Reserve ID
4566,LD.CANTON  23,4004,7002
4123,LD.CANTN_BE13.8,4006,7000
49403,LD.CANTN_BE115,4006,7000
367,UN.CAPE    13.2CAP4,4001,7000
368,UN.CAPE    13.2CAP5,4001,7000
4184,LD.CAPE    34.5,4001,7000
4492,LD.CARD    23,4004,7002
4493,LD.CARD    69,4004,7002
4588,LD.CARML_HL23,4004,7001
4098,LD.CARVR_ST13.8,4008,7003
345,UN.CATALYST115 BOIS,4001,7000
4139,LD.CATALYST115,4001,7000
324,UN.CDEC    13.8AETN,4004,7002
4815,LD.CEDARHTS13.22X LD,4004,7001
4816,LD.CEDARHTS13.23X LD,4004,7001
46727,LD.CENTECH 13.8,4007,7000
10512,LD.CHALLENG34.5,4001,7000
46624,LD.CHALLENG12.5,4001,7000
15411,LD.CHARLOTT12.5,4003,7000
4290,LD.CHRTLYPD23,4006,7000
46960,LD.CHASE_HL12.5,4005,7000
4817,LD.CHATHAM 14.4,4008,7003
11710,LD.CHELSEA 13.8,4008,7003
4464,LD.CHELSEVT46,4003,7000
536,UN.CHEMICAL115 PERC,4001,7000
4412,LD.CHESTER 34.5,4002,7000
616,UN.CHSTERME46  WENF,4001,7000
4077,LD.CHSTERME46,4001,7000
4402,LD.CHSTNTHL34.5,4002,7000
421,UN.CHICOPEE13.8FRST,4007,7000
4524,LD.CHICOPEE13.8,4007,7000
4570,LD.CHIPINHL13.8,4004,7002
4125,LD.CHURCHIL13.8,4006,7000
4821,LD.CLARKSON12.5T1 LD,4005,7000
4822,LD.CLARKSON12.5T2 LD,4005,7000
4529,LD.CLINTON 13.8,4007,7000
379,UN.COBBLEMT69  COBB,4007,7000
10831,LD.COLBURN 13.8,4008,7003
14087,UN.COLBURN 13.8MAT3,4008,7003
4470,LD.COLD_RV 46,4003,7000
4577,LD.COLONY  13.8,4004,7002
473,UN.COMERFRD34.5MCIN,4002,7000
4264,LD.COMERFRD34.5,4002,7000
47366,UN.COMERFRD13.8COM1,4002,7000
47367,UN.COMERFRD13.8COM2,4002,7000
47368,UN.COMERFRD13.8COM3,4002,7000
47369,UN.COMERFRD13.8COM4,4002,7000
4609,LD.COMPO   13.8,4004,7001
4434,LD.CONGRESS13.8,4004,7001
16738,UN.CONGRESS13.8BPFC,4004,7001
50815,UN.COOLIDGE34.5COLS,4003,7000
44033,LD.COOPERML12.5,4001,7000
370,UN.COSCOB  13.8CC10,4004,7001
371,UN.COSCOB  13.8CC11,4004,7001
372,UN.COSCOB  13.8CC12,4004,7001
4605,LD.COSCOB  26.4,4004,7001
14157,UN.COSCOB  13.8CC13,4004,7001
14158,UN.COSCOB  13.8CC14,4004,7001
44013,LD.COSCOB  27.6,4004,7001
44014,LD.COSCOB  13.2,4004,7001
50602,UN.CRANSTON23  CRNS,4005,7000
4823,LD.CROSS_RD13.22X LD,4006,7000
4824,LD.CROSS_RD13.21X LD,4006,7000
4173,LD.CROWLEYS34.5,4001,7000
40341,LD.CROWLEYS12.5,4001,7000
4234,LD.CRYSTLSP13.2,4006,7000
4509,LD.CUMBRLND13.8,4007,7000
4608,LD.DARIEN  13.2,4004,7001
388,UN.DARTMTH 13.8DART,4006,7000
15940,UN.DARTMTH 13.8DAR3,4006,7000
4825,LD.DAVISVIL34.5T1 LD,4005,7000
4826,LD.DAVISVIL34.5T2 LD,4005,7000
10178,LD.DEBLOIS 34.5,4001,7000
4094,LD.DEER_ISL115,4008,7003
393,UN.DEERFLD569  DFL5,4007,7000
413,UN.DEERFLD569  FIFE,4007,7000
4368,LD.DEERFLD569,4007,7000
4305,LD.DEPOT   13.8,4006,7000
4148,LD.DETROIT 34.5,4001,7000
396,UN.DEVON   13.8DV10,4004,7001
397,UN.DEVON   13.2DV11,4004,7001
398,UN.DEVON   13.2DV12,4004,7001
399,UN.DEVON   13.2DV13,4004,7001
400,UN.DEVON   13.2DV14,4004,7001
12504,UN.DEVON   13.2DV15,4004,7001
17044,UN.DEVON   13.2DV16,4004,7001
17045,UN.DEVON   13.2DV17,4004,7001
17046,UN.DEVON   13.2DV18,4004,7001
4614,LD.DEVON_RR115,4004,7001
4827,LD.DEWAR_ST13.8110A LD,4008,7003
4829,LD.DEWAR_ST13.8110B LD,4008,7003
17280,LD.DEXTER  13.8,4004,7002
42375,UN.DEXTER  13.8DX1A,4004,7002
42376,UN.DEXTER  13.8DX1B,4004,7002
10474,LD.DEXTR_RI13.8,4005,7000
39712,LD.DEXTR_RI69,4005,7000
1005,UN.DIGHTON 115 DIGH,4006,7000
4212,LD.DIGHTON 13.8,4006,7000
4547,LD.DOOLEY  13.2,4004,7002
395,UN.DOREEN  23  DORE,4007,7000
4501,LD.DOREEN  23,4007,7000
4417,LD.DOVER   34.5,4002,7000
4120,LD.DOVER_BE13.8,4008,7003
4831,LD.DRAGONCT115,4001,7000
4280,LD.DRUMROCK23,4005,7000
49016,LD.DRUMROCK12.5,4005,7000
4473,LD.DUDLEY  34.5,4004,7002
37974,LD.DUDLEY  13.8,4004,7002
4206,LD.DUPONT  13.8,4006,7000
4236,LD.DUXBURY 23,4006,7000
474,UN.EAST_AVE34.5MCNL,4003,7000
622,UN.EAST_AVE13.8WINO,4003,7000
4453,LD.EAST_AVE13.8,4003,7000
17147,LD.EAST_AVE34.5,4003,7000
4833,LD.E_BEVRLY34.5T10 LD,4008,7003
4834,LD.E_BEVRLY34.5T20 LD,4008,7003
46723,LD.E_BEVRLY23  T1 LD,4008,7003
46754,LD.E_BEVRLY23  T2 LD,4008,7003
4210,LD.E_BRGWTR13.8,4006,7000
11136,LD.E_CAMBRG13.8,4008,7003
4356,LD.E_DRACUT13.2,4007,7000
774,UN.E_FAIRFX34.5LLAM,4003,7000
4450,LD.E_FAIRFX34.5,4003,7000
35555,UN.E_FAIRFX34.5GMTW,4003,7000
4536,LD.E_HARTFR23,4004,7002
4837,LD.E_HOLBRK23  T1 LD,4006,7000
4838,LD.E_HOLBRK23  T2 LD,4006,7000
4271,LD.E_MAIN_S13.8,4007,7000
4575,LD.E_MERDEN13.8,4004,7002
4351,LD.E_METHUE13.2,4008,7003
4543,LD.E_NBRITN13.8,4004,7002
513,UN.E_SHORE 22  NHHB,4004,7002
4421,LD.E_SHORE 13.8,4004,7002
15477,UN.E_SHORE 13.8NHP2,4004,7002
40052,UN.E_SHORE 13.8NHP3,4004,7002
40053,UN.E_SHORE 13.8NHP4,4004,7002
4526,LD.E_SPRFLD13.8,4007,7000
4333,LD.E_TEWKS 13.2,4008,7003
4839,LD.E_WEYMTH23  T1 LD,4006,7000
4840,LD.E_WEYMTH23  T2 LD,4006,7000
4329,LD.E_WINCHD13.8,4007,7000
4199,LD.EASTON  13.8,4006,7000
327,UN.EDDY    34.5AMOS,4002,7000
4396,LD.EDDY    34.5,4002,7000
40327,UN.EDGAR   18.0ED1A,4006,7000
40328,UN.EDGAR   18.0ED1B,4006,7000
48080,LD.ELECTRIC13.8,4008,7003
10556,LD.ELLIS_AV14.4,4006,7000
405,UN.ELLSWRTH34.5ELLS,4001,7000
4631,LD.ELLSWRTH34.5,4001,7000
4520,LD.ELM     23,4007,7000
4178,LD.ELM_ST  34.5,4001,7000
46678,LD.ELM_ST  12.5,4001,7000
4429,LD.ELM_WEST13.8,4004,7001
46734,LD.EMBDEN  12.5,4001,7000
4540,LD.ENFIELD 27.6,4004,7002
