Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
03/22/2022 01:00:00,03/22/2022 06:00:00,AEC,SOUC,15.4396,0.3737,3.6863,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_CSWS,CSWS_AECC_LA,18.1411,0.6071,6.1544,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,20.0142,0.5442,8.0903,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,18.0636,0.5858,6.0981,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,19.9914,0.3956,8.2161,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,15.7743,0.4948,3.8998,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,18.4035,0.5651,6.4587,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,15.5948,0.4172,3.7979,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AECI,AECI,16.3349,0.3221,4.6331,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AEPM_CSWS,CSWS_LA,17.5499,0.5812,5.5889,11.3798
03/22/2022 01:00:00,03/22/2022 06:00:00,ALTW,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,AMRN,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,4.0459,-0.2915,-7.0422,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,BBA,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BCA,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,0.3886,-0.8074,-10.1837,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,-3.2813,-1.3637,-13.2972,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,BLKW,BLKW,3.2603,-0.0855,-8.0339,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,7.9621,-0.6338,-2.7838,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,8.7259,-0.2987,-2.3551,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,7.9779,-0.6180,-2.7838,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BRAZ,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BUBA,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,-10.2885,-1.5846,-20.0836,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,4.2846,-0.4414,-6.6537,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,4.2846,-0.4414,-6.6537,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,4.2846,-0.4414,-6.6537,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,4.2846,-0.4414,-6.6537,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,4.2846,-0.4414,-6.6537,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,8.4522,-0.2469,-2.6806,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,4.5052,-0.1623,-6.7122,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,4.5052,-0.1623,-6.7122,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CLEC,MISO,13.4904,0.1718,1.9389,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,21.3823,0.4059,9.5968,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,COWP,COWP_LA,16.1558,0.4156,4.3606,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,16.1558,0.4156,4.3606,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,16.1558,0.4156,4.3606,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,CPLE,VACS,15.3773,0.3626,3.6350,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CPLW,VACS,15.3773,0.3626,3.6350,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,15.8526,0.4158,4.0571,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CROSSROADS2,MPSCRSRD_EXUNCROSSROADS2_RA,15.8526,0.4158,4.0571,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CROSSROADS3,MPSCRSRD_EXUNCROSSROADS3_RA,15.8526,0.4158,4.0571,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CROSSROADS4,MPSCRSRD_EXUNCROSSROADS4_RA,15.8526,0.4158,4.0571,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CRTH_SPA,WRCRTH_SPA_LA,19.0597,0.4286,7.2514,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWARSENALHILL5,CSWSARSENALUN5_RA,16.3534,1.0516,3.9221,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWCOMANCHE1,CSWSCOMANCHEPLT1,8.8810,-0.1391,-2.3596,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWDOLET1,CSWDOLET1_H,15.9459,0.4485,4.1178,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWELKCITY,CSWELKCITY_H,0.0025,-0.7662,-10.6110,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWETTURK,CSWSTURK_PPUNCSWETTURK_RA,15.5948,0.4172,3.7979,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWFLINTCREEK1,CSWSFLINTCRKUN1_RA,19.9914,0.3956,8.2161,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWJLSTALL,CSWSSTALL_PPPLT1,16.3432,1.0414,3.9222,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWKNOXLEE5,CSWSKNOXLEEUN5_RA,16.1801,0.9098,3.8906,11.3797
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWLIEBERMAN3,CSWSLIEBERMUN3_RA,16.3048,1.0062,3.9190,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWLIEBERMAN4,CSWSLIEBERMUN4_RA,16.3048,1.0062,3.9190,11.3796
03/22/2022 01:00:00,03/22/2022 06:00:00,CSWMATTISON1,CSWSMATTISONUN1_RA,19.9419,0.4809,8.0813,11.3797
