time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9966.658478,0.0,0.0,0.0,9966.658478,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
1,9959.744551,0.0,0.0,0.0,9959.744551,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
2,9952.737829,0.0,0.0,0.0,9952.737829,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
3,9945.731108,0.0,0.0,0.0,9945.731108,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
4,9938.724386,0.0,0.0,0.0,9938.724386,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
5,9931.717665,0.000147,0.0,0.0,9931.717518,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
6,9924.172662,0.002594,0.0,0.0,9924.170068000001,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
7,9915.764596,0.011929,0.0,0.0,9915.752667,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
8,9907.35653,0.022288000000000002,0.0,0.0,9907.334241999999,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
9,9898.948464,0.029835,0.0,0.0,9898.918629,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
10,9890.540399,0.034695000000000004,0.0,0.0,9890.505704,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
11,9882.921089,0.036579,0.0,0.0,9882.88451,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
12,9877.916288,0.035884,0.0,0.0,9877.880404,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
13,9872.911487,0.03491,0.0,0.0,9872.876576999999,400.0,362244.77257050405,0.0,244385.30773500857,606630.0803055126,362550.23195854237,0.0,245611.11582056002,608161.3477791024
