time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
1,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
2,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
3,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
4,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
5,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
6,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
7,9889.238326,0.004527000000000001,0.0,0.0,9889.233799000001,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
8,9889.238326,0.018678999999999998,0.0,0.0,9889.219647,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
9,9889.238326,0.028823,0.0,0.0,9889.209503,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
10,9889.238326,0.034214,0.0,0.0,9889.204112000001,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
11,9889.238326,0.037946,0.0,0.0,9889.20038,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
12,9889.238326,0.035017000000000006,0.0,0.0,9889.203309,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
13,9889.238326,0.034444,0.0,0.0,9889.203882,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
14,9889.238326,0.029835,0.0,0.0,9889.208491000001,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
15,9889.238326,0.021355000000000002,0.0,0.0,9889.216971,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
16,9889.238326,0.009146000000000001,0.0,0.0,9889.22918,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
17,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
18,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
19,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
20,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
21,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
22,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
23,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
24,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
25,9889.238326,0.0,0.0,0.0,9889.238326,400.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
26,9889.238326,0.0,18.1818181818182,0.0,9907.420144181819,416.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
27,9889.238326,0.0,100.0,0.0,9989.238326,504.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
28,9889.238326,0.0,100.0,0.0,9989.238326,592.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
29,9889.238326,0.0,100.0,0.0,9989.238326,680.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
30,9889.238326,0.0,0.0,100.0,9789.238326,580.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
31,9889.238326,0.0045190000000000004,0.0,100.0,9789.233807,480.0,347410.65554080205,0.0,189298.26475822798,536708.92029903,347516.0948209082,0.0,190266.6899223,537782.7847432082
