time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9505.581224,0.0,992.665848830304,0.0,10498.247072830303,2873.54594697067,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
1,9504.380072,0.0,825.515969351514,0.0,10329.896041351514,3600.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
2,9503.17892,0.0,0.0,0.0,9503.17892,3600.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
3,9501.977768,0.0,0.0,0.0,9501.977768,3600.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
4,9500.776615,0.0,0.0,0.0,9500.776615,3600.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
5,9499.575463,0.0,0.0,0.0,9499.575463,3600.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
6,9498.374311,0.000578,0.0,20.1091953333344,9478.264537666666,3579.89080466667,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
7,9496.792558,0.006978,0.0,166.201587333331,9330.583992666669,3413.68921733333,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
8,9495.191022,0.011757,0.0,1000.0,8495.179265,2413.68921733333,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
9,9493.589486,0.021525,0.0,1000.0,8493.567961,1413.68921733333,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
10,9491.987949,0.034194,0.0,13.6892173333345,9478.264537666666,1400.0,335176.73484680103,0.0,179945.78826714493,515122.52311394596,335819.605181817,0.0,184134.85049733997,519954.455679157
