time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
1,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
2,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
3,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
4,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
5,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
6,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
7,9889.238326,0.004527000000000001,0.0,0.0,9889.233799000001,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
8,9889.238326,0.018678999999999998,0.0,0.0,9889.219647,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
9,9889.238326,0.028823,0.0,0.0,9889.209503,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
10,9889.238326,0.034214,0.0,0.0,9889.204112000001,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
11,9889.238326,0.037946,0.0,0.0,9889.20038,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
12,9889.238326,0.035017000000000006,0.0,0.0,9889.203309,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
13,9889.238326,0.034444,0.0,0.0,9889.203882,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
14,9889.238326,0.029835,0.0,0.0,9889.208491000001,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
15,9889.238326,0.021355000000000002,0.0,0.0,9889.216971,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
16,9889.238326,0.009146000000000001,0.0,0.0,9889.22918,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
17,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
18,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
19,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
20,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
21,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
22,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
23,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
24,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
25,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
26,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
27,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
28,9889.238326,0.0,0.0,0.0,9889.238326,200.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
29,9889.238326,0.0,181.818181818182,0.0,10071.056507818183,360.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
30,9889.238326,0.0,0.0,320.0,9569.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
31,9889.238326,0.0045190000000000004,0.0,0.0,9889.233807,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
32,9889.238326,0.018824999999999998,0.0,0.0,9889.219501000001,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
33,9889.238326,0.029053000000000002,0.0,0.0,9889.209273,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
34,9889.238326,0.034284999999999996,0.0,0.0,9889.204041,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
35,9889.238326,0.0386,0.0,0.0,9889.199726,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
36,9889.238326,0.034627000000000005,0.0,0.0,9889.203699000002,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
37,9889.238326,0.032087000000000004,0.0,0.0,9889.206239000001,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
38,9889.238326,0.028987,0.0,0.0,9889.209339,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
39,9889.238326,0.021018000000000002,0.0,0.0,9889.217308000001,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
40,9889.238326,0.00408,363.636363636364,0.0,10252.870609636364,360.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
41,9889.238326,0.0,0.0,320.0,9569.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
42,9889.238326,0.0,0.0,0.0,9889.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
43,9889.238326,0.0,0.0,0.0,9889.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
44,9889.238326,0.0,0.0,0.0,9889.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
45,9889.238326,0.0,0.0,0.0,9889.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
46,9889.238326,0.0,0.0,0.0,9889.238326,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
47,9888.86067,0.0,0.0,0.0,9888.86067,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
48,9888.260093,0.0,0.0,0.0,9888.260093,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
49,9887.659517,0.0,0.0,0.0,9887.659517,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
50,9887.058941,0.0,0.0,0.0,9887.058941,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
51,9886.458365,0.0,0.0,0.0,9886.458365,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
52,9885.667018,0.0,0.0,0.0,9885.667018,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
53,9884.666057,0.0,363.636363636364,0.0,10248.302420636364,360.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
54,9883.665097,0.0,0.0,320.0,9563.665097,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
55,9882.664137,0.0056630000000000005,0.0,0.0,9882.658474,40.0,347449.1534525745,0.0,189712.34789269435,537161.5013452689,347516.0948209082,0.0,190266.6899223,537782.7847432082
