Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
03/24/2022 01:00:00,03/24/2022 06:00:00,AEC,SOUC,33.3674,1.0099,0.3281,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_CSWS,CSWS_AECC_LA,39.6103,1.4189,6.1621,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,36.3866,0.5768,3.7804,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,42.1159,1.9296,8.1569,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,34.7987,0.0512,2.7181,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,39.4058,1.3496,6.0268,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,41.1049,0.7763,8.2992,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,39.6454,0.9149,6.7011,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AECI,AECI,35.1010,0.0800,2.9917,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,AEPM_CSWS,CSWS_LA,42.3656,1.5508,8.7855,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,ALTW,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,AMRN,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,47.7561,0.8158,14.9109,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BBA,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BCA,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,10.0209,-2.4933,-19.5151,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,11.3107,-3.6937,-17.0250,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BLKW,BLKW,48.9873,1.8687,15.0892,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,50.4993,0.2006,18.2693,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,50.7555,0.9760,17.7501,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,50.5261,0.2274,18.2693,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BRAZ,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BUBA,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,17.0984,-4.1910,-10.7400,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,39.3372,-0.2875,7.5953,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,39.3372,-0.2875,7.5953,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,39.3372,-0.2875,7.5953,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,39.3372,-0.2875,7.5953,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,39.3372,-0.2875,7.5953,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,31.4421,-1.1218,0.5345,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,5.3611,-2.2632,-24.4050,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,5.3611,-2.2632,-24.4050,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CLEC,MISO,26.5601,0.2423,-5.7116,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,44.0909,0.4960,11.5656,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,COWP,COWP_LA,34.2321,0.7125,1.4902,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,34.2321,0.7125,1.4902,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,34.2321,0.7125,1.4902,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CPLE,VACS,32.9138,0.9205,-0.0361,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CPLW,VACS,32.9138,0.9205,-0.0361,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,35.1122,1.2097,1.8732,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CROSSROADS2,MPSCRSRD_EXUNCROSSROADS2_RA,35.1122,1.2097,1.8732,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CROSSROADS3,MPSCRSRD_EXUNCROSSROADS3_RA,35.1122,1.2097,1.8732,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CROSSROADS4,MPSCRSRD_EXUNCROSSROADS4_RA,35.1122,1.2097,1.8732,32.0293
03/24/2022 01:00:00,03/24/2022 06:00:00,CRTH_SPA,WRCRTH_SPA_LA,39.9562,0.2292,7.6976,32.0294
03/24/2022 01:00:00,03/24/2022 06:00:00,CSWARSENALHILL5,CSWSARSENALUN5_RA,39.3204,2.0862,5.2048,32.0294
