Node ID,Node Name,Node Type
TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH
TH_NP15_GEN-APND,TH_NP15_GEN-APND,TH
TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH
DGAP_GRID-APND,DGAP_GRID-APND,ASP
DGAP_TEPC-APND,DGAP_TEPC-APND,ASP
DGAP_DEAA-APND,DGAP_DEAA-APND,ASP
DGAP_GRMA-APND,DGAP_GRMA-APND,ASP
DGAP_EPE-APND,DGAP_EPE-APND,ASP
DGAP_GRIF-APND,DGAP_GRIF-APND,ASP
DGAP_SRP-APND,DGAP_SRP-APND,ASP
DGAP_HGMA-APND,DGAP_HGMA-APND,ASP
DGAP_LDWP-APND,DGAP_LDWP-APND,ASP
DGAP_WALC-APND,DGAP_WALC-APND,ASP
DGAP_WAUW-APND,DGAP_WAUW-APND,ASP
DGAP_PSCO-APND,DGAP_PSCO-APND,ASP
DGAP_BPAT-APND,DGAP_BPAT-APND,ASP
DGAP_GCPD-APND,DGAP_GCPD-APND,ASP
DGAP_NWMT-APND,DGAP_NWMT-APND,ASP
DGAP_TPWR-APND,DGAP_TPWR-APND,ASP
DGAP_PNM-APND,DGAP_PNM-APND,ASP
DGAP_TIDC-APND,DGAP_TIDC-APND,ASP
DGAP_DOPD-APND,DGAP_DOPD-APND,ASP
DGAP_WACM-APND,DGAP_WACM-APND,ASP
DGAP_SCL-APND,DGAP_SCL-APND,ASP
DGAP_AVA-APND,DGAP_AVA-APND,ASP
DGAP_IID-APND,DGAP_IID-APND,ASP
DGAP_BANC-APND,DGAP_BANC-APND,ASP
DGAP_CHPD-APND,DGAP_CHPD-APND,ASP
DGAP_PGE-APND,DGAP_PGE-APND,ASP
DGAP_CFE-APND,DGAP_CFE-APND,ASP
DGAP_BCHA-APND,DGAP_BCHA-APND,ASP
DGAP_IPCO-APND,DGAP_IPCO-APND,ASP
